date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:15	110/110	---M-Z	200	added ('OK')	text/plain	date:Sat,%2025%20Jun%202022%2010:24:13%20GMT	https://achievion.com/robots.txt		(from )
15:54:15	117208/117208	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Jun%202022%2010:24:13%20GMT	https://achievion.com/	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/index.html	(from )
15:54:17	104563/104563	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d686209247fad0e68ebdf95dc17c5133-gzip%22	https://achievion.com/feed	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/feed	(from https://achievion.com/)
15:54:17	814/814	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d686209247fad0e68ebdf95dc17c5133-gzip%22	https://achievion.com/comments/feed	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/comments/feed	(from https://achievion.com/)
15:54:18	88870/88870	---M-Z	200	added ('OK')	text/css	etag:%227a80724-15b26-5dfd0d7cdffe2-gzip%22	https://achievion.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-includes/css/dist/block-library/style.minf049.css	(from https://achievion.com/)
15:54:18	408/408	---M-Z	200	added ('OK')	text/css	etag:%227aa1573-198-59ab2ef1c0380-gzip%22	https://achievion.com/wp-content/plugins/email-subscribers/widget/es-widget.css?ver=6.0	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-content/plugins/email-subscribers/widget/es-widgetf049.css	(from https://achievion.com/)
15:54:18	22234/22234	---M-Z	200	added ('OK')	text/css	etag:%227aa1353-56da-59bc84da3957f-gzip%22	https://achievion.com/wp-content/plugins/ajax-search-lite/css/style.basic.css?ver=4.8	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-content/plugins/ajax-search-lite/css/style.basicef15.css	(from https://achievion.com/)
15:54:19	10689/10689	---M-Z	200	added ('OK')	text/css	etag:%227aa1351-29c1-59bc84d988571-gzip%22	https://achievion.com/wp-content/plugins/ajax-search-lite/css/style-simple-red.css?ver=4.8	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-content/plugins/ajax-search-lite/css/style-simple-redef15.css	(from https://achievion.com/)
15:54:20	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd6ff-1538f%22	http://code.jquery.com/jquery-3.3.1.min.js	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/code.jquery.com/jquery-3.3.1.min.js	(from https://achievion.com/)
15:54:20	36675/36675	---M-Z	200	added ('OK')	application/javascript	etag:%227aa230d-8f43-59ab2f7373580-gzip%22	https://achievion.com/wp-content/plugins/wonderplugin-carousel/engine/wonderplugincarouselskins.js?ver=9.8	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-content/plugins/wonderplugin-carousel/engine/wonderplugincarouselskins5b11.js	(from https://achievion.com/)
15:54:21	143373/143373	---M-Z	200	added ('OK')	application/javascript	etag:%227aa230c-2300d-59ab2f7373580-gzip%22	https://achievion.com/wp-content/plugins/wonderplugin-carousel/engine/wonderplugincarousel.js?ver=9.8	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-content/plugins/wonderplugin-carousel/engine/wonderplugincarousel5b11.js	(from https://achievion.com/)
15:54:21	891/891	---M-Z	200	added ('OK')	application/javascript	etag:%227aa14e3-37b-59ab2eec07600-gzip%22	https://achievion.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-contact-form-7-tracker.js?ver=1.9	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-contact-form-7-tracker3aa8.js	(from https://achievion.com/)
15:54:21	2286/2286	---M-Z	200	added ('OK')	application/javascript	etag:%227aa14e6-8ee-59ab2eec07600-gzip%22	https://achievion.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-form-move-tracker.js?ver=1.9	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-form-move-tracker3aa8.js	(from https://achievion.com/)
15:54:22	1372/1372	---MC-	200	added ('OK')	application/json	date:Sat,%2025%20Jun%202022%2010:24:21%20GMT	https://achievion.com/wp-json/wp/v2/pages/2987	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-json/wp/v2/pages/2987.json	(from https://achievion.com/)
15:54:22	162450/162450	---MC-	200	added ('OK')	application/json	date:Sat,%2025%20Jun%202022%2010:24:21%20GMT	https://achievion.com/wp-json/	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-json/index.html	(from https://achievion.com/)
15:54:23	792/792	---M-Z	200	added ('OK')	text/xml	date:Sat,%2025%20Jun%202022%2010:24:22%20GMT	https://achievion.com/xmlrpc.php?rsd	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/xmlrpc0db0.php	(from https://achievion.com/)
15:54:24	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%227a816dc-415-4ed4785da9bc0-gzip%22	https://achievion.com/wp-includes/wlwmanifest.xml	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-includes/wlwmanifest.xml	(from https://achievion.com/)
15:54:24	2433/2433	---MC-	200	added ('OK')	application/json	date:Sat,%2025%20Jun%202022%2010:24:23%20GMT	https://achievion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fachievion.com%2F	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-json/oembed/1.0/embed694b.json	(from https://achievion.com/)
15:54:25	2507/2507	---M-Z	200	added ('OK')	text/xml	date:Sat,%2025%20Jun%202022%2010:24:24%20GMT	https://achievion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fachievion.com%2F&format=xml	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-json/oembed/1.0/embed3e2a	(from https://achievion.com/)
15:54:25	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Sat,%2025%20Jun%202022%2010:24:25%20GMT	https://achievion.com/wp-admin/admin-ajax.php	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-admin/admin-ajax.php	(from https://achievion.com/)
15:54:27	5156/5156	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%227aa1346-1424-59bc84e3d3214%22	https://achievion.com/wp-content/plugins/ajax-search-lite/css/fonts/icons2.eot	C:/Users/Ganesh/OneDrive/Desktop/New%20folder/indiansoftcenter/achievion.com/wp-content/plugins/ajax-search-lite/css/fonts/icons2.eot	(from https://achievion.com/)
